name:ID,:LABEL
Peter C. Nelson,author
Ahmed G. Radwan,author
Veska M. Georgieva,author
Rachid El Meziane,author
Raul Poler,author
Eamonn J. Keogh,author
Henri Prade,author
Attilio Giordana,author
Oscar Castillo,author
Samir Ben Ahmed,author
Krzysztof Michalik,author
K. Srikanta Murthy,author
Kent W. Nixon,author
Adam Shostack,author
Shengzhi Zhang,author
Alexander H. Trechsel,author
Claudio Agostinelli,author
Enrico Molinari,author
Eleonora Brivio,author
Giuseppe Riva,author
Constandinos X. Mavromoustakis,author
Behrouz H. Far,author
Peter Borm,author
Patrick Schilf,author
Bunyamin Dursun,author
Claire Ellul,author
David C. Wilson,author
Sandra Edwards,author
Josefin Wangel,author
Dominik Rybarczyk,author
Michal Nowicki,author
Wojciech Glinkowski,author
Friedrich L. Bauer,author
Peter Landrock,author
Alfred Menezes,author
Marco Bucci,author
Gerrit Bleumer,author
Claudio Bettini,author
Peter Landrock,author
Douglas H. Fisher,author
Monique Chyba,author
Li Qiu,author
Yutaka Yamamoto,author
Pierre Apkarian,author
Krzysztof Szajowski,author
Maurizio Falcone,author
Wojciech Rytter,author
Fabio Casati,author
Lixia Zhang 0001,author
S. Timotheou,author
Milos Hrkic,author
John T. Richards,author
David Z. Pan,author
Anthony Savidis,author
Raja Sengupta,author
Dan L. Carnahan,author
Jack Silver,author
Paolo Bouquet,author
Udaya Bhaskar Vemulapati,author
Siegfried Schaible,author
Marielle Christiansen,author
Yannis Marinakis,author
Liwei Zhang,author
Jeffery L. Kennington,author
Dion Hoe-Lian Goh,author
David MacLeod,author
Alexandros Kaloxylos,author
Ralph Spencer Poore,author
Socrates Dokos,author
Michael L. Hines,author
Americo A. Migliaccio,author
Christoforos Raptopoulos,author
Xi Chen,author
Sergio Boixo,author
Weizhao Wang,author
Chandra Chekuri,author
Samir Khuller,author
Vicky Papadopoulou,author
Siu-Ming Yiu,author
Shubhangi Saraf,author
Robert Chun,author
Miaoqing Huang,author
Arnold P. Boedihardjo,author
Cindy X. Chen,author
Andreas Neumann 0002,author
Claudio Bettini,author
Jiaguo Qi,author
Andrew C. Singer,author
Kyriacos Chrysostomou,author
Ullas Nambiar,author
Vincenzo Piuri,author
Bernd Hofmann,author
Utpal Banerjee,author
A. W. Roscoe,author
Tjerk P. Straatsma,author
Bernd A. Berg,author
Cyril S. Ku,author
Xiaodong Zhang 0001,author
Melissa Dark,author
Benjamin Falchuk,author
Jana Dittmann,author
Shalini Gupta,author
Marios Savvides,author
Zongyi Liu,author
Kin-Man Lam,author
Nigel M. Allinson,author
Naohisa Komatsu,author
Karl Ricanek,author
Masanori Hara,author
Fernando Ferri,author
Xiao-Li Meng,author
Stephen E. Fienberg,author
Aboubakar Maitournam,author
Vladimir V. Ulyanov,author
Jochen H. Schiller,author
Hannu Toivonen,author
Pascal Poupart,author
David Remondo,author
Jan Schlechtendahl,author
Thierry Lecroq,author
Edith Cohen,author
Aniruddha S. Gokhale,author
Aniruddha S. Gokhale,author
Heidrun Schumann,author
David B. Lomet,author
Vassilis Plachouras,author
Alexander Hinneburg,author
Tok Wang Ling,author
Kazuo Goda,author
Fridrikh S. Dzheparov,author
Muhammad Sahimi,author
Joachim Peinke,author
Alexei A. Barmin,author
Stephanie Weirich,author
Joseph J. Ekstrom,author
Vipin Kumar,author
Erin LeDell,author
T. Mark James,author
